Foerdersumme,link_total_sum,Begünstigter,link_company,Landkreis,link_location,BundesLand,link_lander,company_url,basis_praemie
"713.550,40",,"Landw.GmbH -Neukammer- – 16818 Neuruppin, Stadt",/karten/agrarsubventionen_2021-empfaenger85affc9e0969606352ff5f832b4dc7c5.html,"Ostprignitz-Ruppin, Landkreis","/karten/ostprignitz-ruppin,_landkreis-agrarsubventionen_2021-landkreis_12068.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger85affc9e0969606352ff5f832b4dc7c5.html,"['368.739,91 €']"
"713.092,07",,Agrargenossenschaft eG Grosszoebern vertreten durch den Vorstand – 08538 Weischlitz,/karten/agrarsubventionen_2021-empfaengerda1056588cbe9670f83e246e921db09b.html,"Ostprignitz-Ruppin, Landkreis","/karten/ostprignitz-ruppin,_landkreis-agrarsubventionen_2021-landkreis_12068.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerda1056588cbe9670f83e246e921db09b.html,"['197.154,86 €']"
"712.668,39",,"Reemtsma, Bernhard – 23968 Hohenkirchen",/karten/agrarsubventionen_2021-empfaenger70f15926f3804f691981304b8ae5cad8.html,Landkreis Nordwestmecklenburg,/karten/landkreis_nordwestmecklenburg-agrarsubventionen_2021-landkreis_13074.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger70f15926f3804f691981304b8ae5cad8.html,"['463.433,61 €']"
"711.629,93",,Vieselbacher Pflanzenbau GmbH – 99428 Grammetal,/karten/agrarsubventionen_2021-empfaengerc95c43dce0d528780c3b3569a3fe1e6b.html,"Weimarer Land, Kreis","/karten/weimarer_land,_kreis-agrarsubventionen_2021-landkreis_16071.html",Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerc95c43dce0d528780c3b3569a3fe1e6b.html,"['468.621,40 €']"
"710.152,62",,Agrargenossenschaft Gerstungen eG – 99834 Gerstungen,/karten/agrarsubventionen_2021-empfaenger1f4aac1fa3c1dd9734f29560f7e961e4.html,Wartburgkreis,/karten/wartburgkreis-agrarsubventionen_2021-landkreis_16063.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger1f4aac1fa3c1dd9734f29560f7e961e4.html,"['328.448,39 €']"
"709.927,83",,"knack-frisch-Selen Handels GmbH – 41066 Mönchengladbach, Stadt",/karten/agrarsubventionen_2021-empfaenger5b2ad65d1fb4312d53d69e34719d3a2b.html,"Mönchengladbach, Kreisfreie Stadt","/karten/mönchengladbach,_kreisfreie_stadt-agrarsubventionen_2021-landkreis_5116.html",Nordrhein-Westfalen,/karten/nordrhein-westfalen-agrarsubventionen_2021-bundesland_0376b90efccf6a11e5c2ab073c62b120.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger5b2ad65d1fb4312d53d69e34719d3a2b.html,"['709.927,83 €']"
"709.304,24",,AG Barsikow eG – 16845 Wusterhausen/Dosse,/karten/agrarsubventionen_2021-empfaenger8055d5ce9fccf9a4717ae9a260aad098.html,"Ostprignitz-Ruppin, Landkreis","/karten/ostprignitz-ruppin,_landkreis-agrarsubventionen_2021-landkreis_12068.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger8055d5ce9fccf9a4717ae9a260aad098.html,"['427.927,84 €']"
"708.958,86",,"AgrarGen.Gonna-/Leinetal eG. – 06526 Sangerhausen, Stadt",/karten/agrarsubventionen_2021-empfaenger4271ad4178c401ec9f4dab70796e83f6.html,"Mansfeld-Südharz, Landkreis","/karten/mansfeld-südharz,_landkreis-agrarsubventionen_2021-landkreis_15087.html",Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4271ad4178c401ec9f4dab70796e83f6.html,"['375.640,14 €']"
"707.276,05",,"ADG Lützen- Dölzig mbH – 06686 Lützen, Stadt",/karten/agrarsubventionen_2021-empfaengerf0498b1f32140d0639938c2496ce0f33.html,Burgenlandkreis,/karten/burgenlandkreis-agrarsubventionen_2021-landkreis_15084.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerf0498b1f32140d0639938c2496ce0f33.html,"['466.608,05 €']"
"706.085,76",,Agrargenossenschaft Gahry eG – 03149 Wiesengrund/Lukojce,/karten/agrarsubventionen_2021-empfaenger994e225e1abb1fec75a3e0b00519e20a.html,"Spree-Neiße, Landkreis","/karten/spree-neiße,_landkreis-agrarsubventionen_2021-landkreis_12071.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger994e225e1abb1fec75a3e0b00519e20a.html,"['392.313,35 €']"
"721.219,74",,SD Land- und Forstwirtschaft GmbH & Co. KG – 23942 Kalkhorst,/karten/agrarsubventionen_2021-empfaenger946de8c1f77e410c96ed571a0ce31d2c.html,Landkreis Nordwestmecklenburg,/karten/landkreis_nordwestmecklenburg-agrarsubventionen_2021-landkreis_13074.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger946de8c1f77e410c96ed571a0ce31d2c.html,"['236.378,04 €']"
"720.787,41",,Gemeinde Heideland – 07613 Heideland,/karten/agrarsubventionen_2021-empfaenger23451f453e0b3a332e1bf65a2f16ddb9.html,Saale-Holzland-Kreis,/karten/saale-holzland-kreis-agrarsubventionen_2021-landkreis_16074.html,Thüringen,/karten/thüringen-agrarsubventionen_2021-bundesland_cb2af98b84b51f43e63625bd07976206.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger23451f453e0b3a332e1bf65a2f16ddb9.html,"['720.787,41 €']"
"719.746,51",,"Gut Storkow eG – 17268 Templin, Stadt",/karten/agrarsubventionen_2021-empfaengera375ff1cc2344eec45397442d6f890c7.html,"Uckermark, Landkreis","/karten/uckermark,_landkreis-agrarsubventionen_2021-landkreis_12073.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengera375ff1cc2344eec45397442d6f890c7.html,"['238.361,26 €']"
"719.314,25",,"Agrargenossenschaft Loessnitz-Stollberg eG vertreten durch den Vorstand – 08294 Lößnitz, Stadt",/karten/agrarsubventionen_2021-empfaenger4c27e192860dde706a86108a55d2732d.html,Erzgebirgskreis,/karten/erzgebirgskreis-agrarsubventionen_2021-landkreis_14521.html,Sachsen,/karten/sachsen-agrarsubventionen_2021-bundesland_2b599b5935723d14cbf88a2b4bd8f5db.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger4c27e192860dde706a86108a55d2732d.html,"['346.614,32 €']"
"717.236,24",,"Agrargemeinschaft Kritzkow/ Hohen Sprenz e.G. – 18299 Laage, Stadt",/karten/agrarsubventionen_2021-empfaengerf82d333b0de129472c6b004eded0312f.html,Landkreis Rostock,/karten/landkreis_rostock-agrarsubventionen_2021-landkreis_13072.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengerf82d333b0de129472c6b004eded0312f.html,"['363.013,45 €']"
"716.780,95",,"Landschaftspflegegesellschaft mbH Lenzen – 19309 Lenzen (Elbe), Stadt",/karten/agrarsubventionen_2021-empfaenger403f1b8c2d6940cb34fcee8a40863ad9.html,"Prignitz, Landkreis","/karten/prignitz,_landkreis-agrarsubventionen_2021-landkreis_12070.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger403f1b8c2d6940cb34fcee8a40863ad9.html,"['241.568,26 €']"
"715.734,34",,"Trägerwerk Soziale Dienste in Mecklenburg-Vorpommern GmbH – 17109 Demmin, Hansestadt",/karten/agrarsubventionen_2021-empfaengera92521d2320596d9d80aabab6647533d.html,Landkreis Mecklenburgische Seenplatte,/karten/landkreis_mecklenburgische_seenplatte-agrarsubventionen_2021-landkreis_13071.html,Mecklenburg-Vorpommern,/karten/mecklenburg-vorpommern-agrarsubventionen_2021-bundesland_5a61ca66ef23199eb6afa5e9bb4779f1.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaengera92521d2320596d9d80aabab6647533d.html,"['715.734,34 €']"
"714.919,20",,"Stadt Lübbenau – 03222 Lübbenau/Spreewald / Lubnjow/Blota, Stadt",/karten/agrarsubventionen_2021-empfaenger378867760eccf04a309281de020325c8.html,"Oberspreewald-Lausitz, Landkreis","/karten/oberspreewald-lausitz,_landkreis-agrarsubventionen_2021-landkreis_12066.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger378867760eccf04a309281de020325c8.html,"['714.919,20 €']"
"714.737,44",,SAG-Schorfheider Agrar-GmbH – 16244 Schorfheide,/karten/agrarsubventionen_2021-empfaenger374fbd3082b3d978fe07167b6f81a3f8.html,"Barnim, Landkreis","/karten/barnim,_landkreis-agrarsubventionen_2021-landkreis_12060.html",Brandenburg,/karten/brandenburg-agrarsubventionen_2021-bundesland_2ddb2d82267087ce442c1a4a3d972c06.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger374fbd3082b3d978fe07167b6f81a3f8.html,"['421.130,43 €']"
"714.552,21",,"Pflanzenbau-Gen. e.G. Bernburg-Nord – 06429 Nienburg (Saale), Stadt",/karten/agrarsubventionen_2021-empfaenger768999d41ac351ac49f56c6b8293612f.html,Salzlandkreis,/karten/salzlandkreis-agrarsubventionen_2021-landkreis_15089.html,Sachsen-Anhalt,/karten/sachsen-anhalt-agrarsubventionen_2021-bundesland_26b09cd026477d8cc9e4bf59622979a9.html,https://proplanta.de/karten/agrarsubventionen_2021-empfaenger768999d41ac351ac49f56c6b8293612f.html,"['471.421,42 €']"
